r,v
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.060000000000000005,0.0
0.06999999999999999,0.0
0.08,0.0
0.09,0.0
0.09999999999999999,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15000000000000002,0.0
0.16,0.0
0.17,0.0
0.18000000000000002,0.0
0.19,0.0
0.2,0.0
0.21000000000000002,0.0
0.22,0.0
0.23,0.0
0.24000000000000002,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29000000000000004,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36000000000000004,0.0
0.37,0.28307441706402325
0.38,0.3677435753869115
0.39,0.41331977264508407
0.4,0.44754517580517267
0.41000000000000003,0.4755300198359063
0.42000000000000004,0.4993903107930851
0.43,0.52025528229779
0.44,0.5388158447788689
0.45,0.5555330586659836
0.46,0.5707337034665437
0.47000000000000003,0.5846598693377499
0.48000000000000004,0.5974970862352121
0.49,0.6093913913452775
0.5,0.620460247594936
0.51,0.6307998334236103
0.52,0.6404900843870017
0.53,0.6495982845630351
0.54,0.6581816900892792
0.55,0.6662894876404146
0.56,0.673964284244683
0.5700000000000001,0.6812432594783604
0.5800000000000001,0.6881590696662714
0.59,0.6947405667530085
0.6,0.7010133765232126
0.61,0.7070003685890355
0.62,0.7127220420418937
0.63,0.7181968446385047
0.64,0.7234414390595825
0.65,0.7284709266208647
0.66,0.733299036481868
0.67,0.7379382866515015
0.68,0.7424001217684378
0.6900000000000001,0.7466950316240173
0.7000000000000001,0.7508326536156436
0.7100000000000001,0.754821861711189
0.72,0.7586708440277364
0.73,0.7623871707501855
0.74,0.7659778538139249
0.75,0.7694493995337672
0.76,0.7728078551657396
0.77,0.7760588502292363
0.78,0.7792076332869109
0.79,0.7822591047726731
0.8,0.7852178463696872
0.81,0.7880881473667812
0.8200000000000001,0.7908740283603423
0.8300000000000001,0.793579262617378
0.8400000000000001,0.7962073953721458
0.85,0.7987617612921922
0.86,0.8012455003186278
0.87,0.8036615720590609
0.88,0.8060127688890547
0.89,0.8083017278986439
0.9,0.8105309418038213
0.91,0.8127027689285792
0.92,0.8148194423506809
0.93,0.8168830782936047
0.9400000000000001,0.8188956838377338
0.9500000000000001,0.8208591640157299
0.9600000000000001,0.8227753283498997
0.97,0.8246458968831201
0.98,0.826472505749417
0.99,0.8282567123254604
