f0,f1,f2,f3,v
-6.794117647058821,-5.959459459459459,-5.249999999999999,-4.6395348837209305,0.0
-6.4268680445151,-5.637326515704894,-4.966216216216215,-4.38874921433061,0.02
-6.097285067873301,-5.348232848232848,-4.711538461538461,-4.163685152057246,0.04
-5.799856527977042,-5.087343441001978,-4.4817073170731705,-3.9605785592739653,0.06
-5.530095759233923,-4.850722815839094,-4.2732558139534875,-3.7763656030286645,0.08
-5.284313725490193,-4.635135135135134,-4.083333333333332,-3.608527131782946,0.1
-5.059449311639547,-4.437895342150661,-3.909574468085106,-3.4549727857496295,0.12
-4.852941176470586,-4.256756756756756,-3.7499999999999996,-3.313953488372093,0.14
-4.662629757785465,-4.089825119236884,-3.602941176470588,-3.183994528043776,0.16
-4.486681465038844,-3.935492095869454,-3.4669811320754715,-3.0638437911364638,0.18
-4.323529411764704,-3.7923832923832923,-3.3409090909090904,-2.952431289640592,0.2
-4.171826625386995,-3.6593172119487907,-3.2236842105263155,-2.8488372093023258,0.22
-4.030408773678961,-3.535272560696289,-3.1144067796610164,-2.75226645644462,0.24
-3.8982642237222738,-3.419361984935755,-3.0122950819672125,-2.6620282119710255,0.26
-3.7745098039215663,-3.3108108108108105,-2.916666666666666,-2.5775193798449614,0.28
-3.6583710407239804,-3.208939708939709,-2.8269230769230766,-2.4982110912343476,0.3
-3.549165935030727,-3.1131504638967327,-2.7425373134328357,-2.423637625824367,0.32
-3.4462915601023,-3.022914218566392,-2.663043478260869,-2.3533872598584433,0.34
-3.3492129246064613,-2.9377617053673393,-2.5880281690140845,-2.2870946609891916,0.36
-3.257453666398065,-2.857275083302481,-2.517123287671233,-2.2244345332908573,0.38
-3.1705882352941166,-2.7810810810810813,-2.4499999999999997,-2.165116279069768,0.4
-3.088235294117646,-2.708845208845209,-2.3863636363636362,-2.108879492600423,0.42
-3.010052122114667,-2.6402668491276087,-2.3259493670886076,-2.0554901383573743,0.44
-2.935729847494552,-2.575075075075075,-2.268518518518518,-2.0047372954349703,0.46
-2.864989369241671,-2.513025073266037,-2.2138554216867465,-1.9564303726534045,0.48
-2.797577854671279,-2.45389507154213,-2.161764705882353,-1.9103967168262657,0.5
-2.7332657200811346,-2.397483690587139,-2.112068965517241,-1.8664795509222134,0.52
-2.6718440185062775,-2.3436076525964165,-2.064606741573033,-1.8245361902273323,0.54
-2.6131221719457,-2.292099792099792,-2.0192307692307687,-1.7844364937388193,0.56
-2.556925996204933,-2.242807323452485,-1.9758064516129032,-1.7460615153788452,0.58
-2.5030959752321973,-2.1955903271692745,-1.9342105263157894,-1.7093023255813957,0.6
-2.45148574893875,-2.1503204235163,-1.8943298969072164,-1.6740589786621918,0.62
-2.4019607843137245,-2.106879606879607,-1.856060606060606,-1.6402396053558848,0.64
-2.354397204426324,-2.065159218624565,-1.8193069306930691,-1.6077596131706198,0.66
-2.308680753854939,-2.0250590396221466,-1.7839805825242716,-1.5765409799051708,0.68
-2.2647058823529402,-1.9864864864864864,-1.7499999999999998,-1.546511627906977,0.7000000000000001
-2.2223749312809224,-1.9493558979540286,-1.717289719626168,-1.5176048685068466,0.72
-2.1815974096060433,-1.913587899826432,-1.6857798165137612,-1.4897589076168127,0.74
-2.1422893481717002,-1.879108838568298,-1.6554054054054053,-1.4629164047768701,0.76
-2.1043727225403424,-1.8458502750538148,-1.6261061946902653,-1.4370240790286068,0.78
-2.06777493606138,-1.8137485311398354,-1.5978260869565215,-1.4120323559150658,0.8
-2.0324283559577667,-1.7827442827442825,-1.5705128205128203,-1.3878950506857484,0.8200000000000001
